V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
986515,4719,471-472,14,2011,0,2584434,885089.5,0,32004,0,0,597119,6411,11693,75247,46376,12392,13519,36000,40294,0,0,14034.5,795076,315630,6694403,1699344.5,72,0,0,72,0,2,74,0,0,0,0,38,34,0,0,1,1,39,35,0,184054,0,114348.72,0,777104,891452.72,2970909,2547172,4109969,2759040.5,4109969,4109969,0,5198212,128781,6524277
985930,4719,471-472,14,1997,0,2279876,770531.5,0,640,95821,94117,263434,5131,1425,48532,59025,763,7281,47195,76612,0,0,70555.5,859199,394630,8316348,1509344.5,45,0,31,14,0,2,47,0,0,13,18,5,9,0,0,1,1,19,28,626019,183446,762554,184617.6,0,212845,1160016.6,4036198,3864749,6036472,3950473.5,6036472,6036472,0,7056325,332256,8726220
981837,4719,471-472,11,2009,0,449113.6667,77936.33333,0,0,4133.333333,0,39753.33333,9836.666667,808.6666667,11541.33333,2069.333333,1022.666667,2819.333333,2952,2480.333333,0,0,519.3333333,180380.6667,78447.33333,1606267,371177.3333,17,0.3333333333,2.333333333,14.66666667,0,0.6666666667,18,0.3333333333,0,2,0.3333333333,9,5.666666667,0,0,0.6666666667,0,12,6,25378.33333,40621.33333,31441.33333,33900.02667,0,150816.3333,216157.6933,1313287,1121920.333,1157153.333,1217603.667,1157153.333,1157153.333,0,1257336.333,56899.33333,1587667.667
981295,4719,471-472,14,2000,0,2426997,489505,0,1189,231926,0,54000,17368,73315,40332,4960,2139,2521,838,11466,0,0,49451,389417,147410,11754672,1937492,21,0,2,19,0,0,21,0,0,1,1,0,19,0,0,0,0,1,20,136400,80657,164200,57766.68,0,253017,474983.68,960980,1052098,9327675,1006539,9327675,9327675,0,9960239,90093,10712103
980915,4719,471-472,14,1984,0,250386,39369,0,0,5840,0,19800,0,2236,5199,1745,919,0,0,0,0,2750,880,103584,41523,860872,211017,7,0,7,0,0,0,7,0,0,3,4,0,0,0,0,0,0,3,4,103584,22517,126101,21139.76,0,0,147240.76,833752,845078,610486,839415,610486,610486,0,663725,53104,872865
966268,4719,471-472,5,2007,0,60872910.33,36798877.67,0,218984,2035668,982719.3333,12356718.67,373409.6667,1512783.667,2747642,492671,156054.6667,1517069,5722434,3356924,7496,1102617.667,2299424.667,17996625.8,9045522.867,215121851,24074032.67,884.6666667,0,396.6666667,488,97.66666667,36.33333333,1018.666667,0,0,242.6666667,154,338,150,62,35.66666667,26.66666667,9.666666667,669.3333333,349.3333333,11142674.47,5938720.533,14890258,2859221.853,1916261.333,6465541.333,24215021.19,29170228.67,29595740.67,154248940.7,29382984.67,154248940.7,154248940.7,0,195121591.7,9837731.667,236481410.7
965904,4719,471-472,14,2008,0,3615551,1080411.5,0,0,98636,0,407590,46920,58629,113032,72951,7208,24362,30001,114794,0,0,106288.5,1752617,736661,9183250,2535139.5,120,0,120,0,0,6,126,0,0,72,48,0,0,0,0,6,0,78,48,1689707,406772,2096479,287308.28,0,0,2383787.28,5838923,4614795,5567699,5226859,5567699,5567699,0,6923526,0,9560604
965767,4719,471-472,11,2010,0,449113.6667,77936.33333,0,0,4133.333333,0,39753.33333,9836.666667,808.6666667,11541.33333,2069.333333,1022.666667,2819.333333,2952,2480.333333,0,0,519.3333333,180380.6667,78447.33333,1606267,371177.3333,17,0.3333333333,2.333333333,14.66666667,0,0.6666666667,18,0.3333333333,0,2,0.3333333333,9,5.666666667,0,0,0.6666666667,0,12,6,25378.33333,40621.33333,31441.33333,33900.02667,0,150816.3333,216157.6933,1313287,1121920.333,1157153.333,1217603.667,1157153.333,1157153.333,0,1257336.333,56899.33333,1587667.667
965692,4719,471-472,11,2001,0,136059,53336.5,0,1520,3020,0,35436,0,865,7900,780,935,0,780,850,0,0,1250.5,63749,30238,241000,82722.5,6,0,6,0,0,0,6,0,0,4,2,0,0,0,0,0,0,4,2,63749,15593,79342,12959.4,0,0,92301.4,786000,851000,104941,818500,104941,104941,0,163219,25642,291388
965593,4719,471-472,14,2012,0,508251,213752,0,2158,1061,6165,95634,13746,6100,62737,9682,1454,8821,0,1535,0,0,4659,237495,84221,2803466,294499,18,0,18,0,0,3,21,0,0,10,8,0,0,0,0,2,1,12,9,216872,44919,261791,33760.24,0,0,295551.24,2155685,0,2295215,1077842.5,2295215,2295215,0,2567134,964278,3929690
