V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
986557,4741-4742,474 - 475,4,2007,9708,2981650,702003,0,0,32869,0,337239,9101,10631,96290,39106,15576,65316,44897,20523,1900,0,28555,949665,334956,9382174,2279647,48,0,2,46,0,2,50,0,0,1,1,11,35,0,0,0,2,12,38,211806,202060,258107,118428,0,722813,1099348,1538851,1680683,6390816.006,1609767,6390816,6400524,0,7287502,420360,9086562
986556,4741-4742,474 - 475,14,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986508,4741-4742,474 - 475,14,2011,0,1909700,634270,0,0,30364,0,332673,15125,0,139854,17439,8139,699,0,53025,0,0,36952,478241,272944,7557161,1275430,45,1,45,0,0,2,48,1,0,33,12,0,0,0,0,2,0,36,12,467027,129999,597026,124108.28,0,0,721134.28,3283722,3768905,5647461,3526313.5,5647461,5647461,0,6367226,14302,7194698
986480,4741-4742,474 - 475,11,1997,0,2239496,519593.5,0,0,46089,0,113167,10304,1201,201373,11746,9734,27167,62806,22802,0,0,13204.5,632338,244132,10076171,1719902.5,49,2,4,45,0,2,53,1,1,2,2,27,18,0,0,1,1,31,22,40063,144030,49819,92398.84,0,563044,705261.84,4336954,5075438,7836675,4706196,7836675,7836675,0,8446515,110963,9498774
986457,4741-4742,474 - 475,4,2005,0,1051540,353994,0,0,24000,0,38841,6358,0,41210,4120,5120,0,0,166730,0,0,67615,214180,76641,4952192,697546,29,0,0,29,0,2,31,0,0,0,0,11,18,0,0,0,2,11,20,0,43034,0,29290.52,0,194308,223598.52,5567344,6081728,3900652,5824536,3900652,3900652,0,4330460,103423,4755785
986387,4741-4742,474 - 475,14,1997,0,2889811,960240,4,0,10769,648961,60468,10620,28336,38520,26424,1865,0,79906,33670,0,0,3192,666400,277056,6282196,1929571,34,2,6,28,1,2,39,2,0,4,2,13,15,1,0,1,1,21,18,158944,141136,193641,123969.6,17505,487582,805192.6,2834861,3945400,3392385,3390130.5,3392385,3392385,0,4419746,63804,5477662
986356,4741-4742,474 - 475,11,1991,0,91650,51843.5,0,0,0,0,39540,0,0,7509,2728,1664,280,0,0,0,0,122.5,136436,54427,328450,39806.5,10,0,3,7,0,1,11,0,0,2,1,3,4,0,0,1,0,6,5,50870,25818,61046,23287.32,0,77712,162045.32,132780,85987,236800,109383.5,236800,236800,0,291020,0,481883
986283,4741-4742,474 - 475,11,1998,0,1150725,424625,1350,0,10780,0,68400,0,5470,76345,10980,1120,189700,7800,49860,0,0,2820,235539,93255,3054784,726100,20,0,17,3,0,2,22,0,0,8,9,0,3,0,0,0,2,8,14,182400,46979,222218,38615.2,0,29859,290692.2,2250000,1572000,1904059,1911000,1904059,1904059,0,2341354,250680,2922608
986188,4741-4742,474 - 475,14,1992,0,1881084,611372,0,0,30800,102077,187221,5823,10817,19017,13232,5852,41862,124353,8582,0,2998,58738,312737,126658,7429790,1269712,15,0,15,0,0,0,15,0,0,9,6,0,0,0,0,0,0,9,6,312737,73825,386562,45487.48,0,0,432049.48,5955566,6948544,5548706,6452055,5548706,5548706,0,6344004,437578,7242962
985730,4741-4742,474 - 475,14,2008,0,690458,514435,0,0,85728,0,362174,67,3736,7376,7546,1985,4416,5074,3931,0,10175,22227,157490,61142,1582643,176023,12,0,11,1,0,1,13,0,0,9,2,1,0,0,0,1,0,11,2,138061,37908,172774,19990.48,0,14227,206991.48,380547,362123,892185,371335,892185,892185,0,1457018,60258,1750135
985640,4741-4742,474 - 475,14,2009,29712.66667,6192346.667,2429270.333,305,23412.66667,174195.3333,320254.6667,651328,59756,15535.33333,46378.33333,52842.66667,9232.666667,265411,134163.6667,365802,0,0,208240,1273635.667,521049.6667,19921527.33,3763076.333,40.66666667,0,33.66666667,7,4.666666667,2,47.33333333,0,0,16.33333333,17.33333333,4,3,1,3.666666667,0.6666666667,1.333333333,22,25.33333333,1156549,343629,1476232.333,149595.3867,102413,104937,1730764.72,2235940.667,2293068,13699468.01,2264504.333,13699468,13729180.67,0,16753883.67,308958.6667,19150512
985489,4741-4742,474 - 475,14,2012,0,7619712.667,4029934.833,0,25262.66667,837859.3333,128097.3333,1932010.333,15586,44843.66667,226817.3333,16116,3563,11616,20038,92084,213178,0,277196.8333,980415.3333,408165.6667,21535653.67,3589777.833,49,0.3333333333,49,0,11,2.333333333,62.66666667,0,0.3333333333,18.33333333,30.66666667,0,0,4.333333333,6.666666667,2.333333333,0,25,37.66666667,970077,231276.6667,1201353.667,153258.12,185666.3333,0,1354611.787,3845365.667,4930040.333,13915941,4387703,13915941,13915941,0,18249281.67,1837891.667,21734365
985282,4741-4742,474 - 475,11,1985,0,2127546,375311.5,815,0,35100,0,19896,0,2711,40279,33495,9875,90167,38256,21486,19075,0,64156.5,476101,237479,8284829,1752234.5,44,0,44,0,0,2,46,0,0,24,20,0,0,0,0,2,0,26,20,453899,99041,552940,115562,0,0,668502,2159000,1705593,6157283,1932296.5,6157283,6157283,0,6678744,361088,7753412
985266,4741-4742,474 - 475,14,1995,0,2687125,1257884.5,0,502,26887,0,973452,23339,14847,136072,15656,3389,12025,2830,40351,0,0,8534.5,423264,164875,7095122,1429240.5,28,0,27,1,0,1,29,0,0,24,3,1,0,0,0,1,0,26,3,408614,89417,495217,61333.12,0,11875,568425.12,987521,1679111,4407997,1333316,4407997,4407997,0,5722967,1063,6340751
985232,4741-4742,474 - 475,5,2000,0,1901289,519751.5,0,1883,66426,1261,75112,36651,23744,44664,21121,6328,30096,20788,64852,0,0,126825.5,850042,395402,6508077,1381537.5,80,0,33,47,0,3,83,0,0,18,15,24,23,0,0,3,0,45,38,344341,227041,473884,146361.4,0,475922,1096167.4,2712308,2574578,4606788,2643443,4606788,4606788,0,5320156,0,6682336
